Model,Model_Type,Question_ID,Complexity,Bytes_Processed_MB,Slot_Seconds,Execution_Time_S,Bytes_Shuffled_B,Bytes_Spilled_B,Correct,Cost_USD
Gemini 3 Flash,Standard,M5,Medium,1560,22.66,0.629,119460,0,Y,0.0098
Gemini 3 Flash,Standard,M6,Medium,890.66,81,5.41,1250000000,0,Y,0.0056
Gemini 3 Flash,Standard,M7,Medium,1830,42,2.06,16910000,0,Y,0.0114
Gemini 3 Flash,Standard,M8,Medium,28750,490,4.45,886110,0,Y,0.1797
Gemini 3 Flash,Standard,M9,Medium,1350,112,7.46,1910000000,0,Y,0.0084
Gemini 3 Flash,Standard,M10,Medium,351.26,4.5,0.507,254340,0,Y,0.0022
Gemini 3 Flash,Standard,C1,Complex,1130,109,3.9,2070000000,0,Y,0.0071
Gemini 3 Flash,Standard,C2,Complex,980.34,181,4,4390000000,0,Y,0.0061
Gemini 3 Flash,Standard,C3,Complex,2650,180,7,5000000000,0,Y,0.0166
Gemini 3 Flash,Standard,C4,Complex,175.63,33.73,1.84,37890,0,Y,0.0011
Gemini 3 Flash,Standard,C5,Complex,1720,115,1.35,2830000000,0,Y,0.0108
Gemini 3 Flash,Standard,C6,Complex,2150,112,20.49,2600000000,0,Y,0.0134
Gemini 3 Flash,Standard,C7,Complex,2630,133,3.36,3310000000,0,Y,0.0164
Gemini 3 Flash,Standard,C8,Complex,351.26,3,0.483,270,0,Y,0.0022
Gemini 3 Flash,Standard,C9,Complex,1890,3.28,0.483,270,0,Y,0.0118
Gemini 3 Flash,Standard,C10,Complex,5590,331,3.39,7360000000,0,Y,0.0349
Gemini 3 Pro Thinking,Reasoning,S1,Simple,175.63,1,0.32,9,0,Y,0.0011
Gemini 3 Pro Thinking,Reasoning,S2,Simple,374.25,4,0.751,248,0,Y,0.0023
Gemini 3 Pro Thinking,Reasoning,S3,Simple,175.63,2,0.286,9,0,Y,0.0011
Gemini 3 Pro Thinking,Reasoning,S4,Simple,604.2,8,0.963,9,0,Y,0.0038
Gemini 3 Pro Thinking,Reasoning,S5,Simple,517.02,34,5,188880000,0,Y,0.0032
Gemini 3 Pro Thinking,Reasoning,S6,Simple,1390,41,0.624,110360,0,Y,0.0087
Gemini 3 Pro Thinking,Reasoning,S7,Simple,259.58,4,0.303,1060,0,Y,0.0016
Gemini 3 Pro Thinking,Reasoning,S8,Simple,13440,292,3,125080,0,Y,0.0840
Gemini 3 Pro Thinking,Reasoning,S9,Simple,0,1,0.52,180,0,Y,0.0000
Gemini 3 Pro Thinking,Reasoning,S10,Simple,1470,165,10,2810000000,0,Y,0.0092
Gemini 3 Pro Thinking,Reasoning,M1,Medium,722.02,75,1,931550000,0,Y,0.0045
Gemini 3 Pro Thinking,Reasoning,M2,Medium,1560,17,0.279,129400,0,Y,0.0098
Gemini 3 Pro Thinking,Reasoning,M3,Medium,1250,18,1,3950000,0,Y,0.0078
Gemini 3 Pro Thinking,Reasoning,M4,Medium,351.56,6,0.618,270,0,Y,0.0022
Gemini 3 Pro Thinking,Reasoning,M5,Medium,2680,202,1,3910000000,0,Y,0.0168
Gemini 3 Pro Thinking,Reasoning,M6,Medium,890.66,86,6,1200000000,0,Y,0.0056
Gemini 3 Pro Thinking,Reasoning,M7,Medium,1660,44,1,11810000,0,Y,0.0104
Gemini 3 Pro Thinking,Reasoning,M8,Medium,28500,565,3,787430,0,Y,0.1781
Gemini 3 Pro Thinking,Reasoning,M9,Medium,1350,128,6,1750000000,0,Y,0.0084
Gemini 3 Pro Thinking,Reasoning,M10,Medium,351.26,28,0.389,11730000,0,Y,0.0022
Gemini 3 Pro Thinking,Reasoning,C1,Complex,1130,176,4,1630000000,0,Y,0.0071
Gemini 3 Pro Thinking,Reasoning,C2,Complex,1380,157,2,2470000000,0,Y,0.0086
Gemini 3 Pro Thinking,Reasoning,C3,Complex,2420,176,6,4160000000,0,Y,0.0151
Gemini 3 Pro Thinking,Reasoning,C4,Complex,175.63,33,1,34900,0,Y,0.0011
Gemini 3 Pro Thinking,Reasoning,C5,Complex,1460,130,1,2270000000,0,Y,0.0091
Gemini 3 Pro Thinking,Reasoning,C6,Complex,2150,137,19,2310000000,0,Y,0.0134
Gemini 3 Pro Thinking,Reasoning,C7,Complex,2630,166,5,3300000000,0,Y,0.0164
Gemini 3 Pro Thinking,Reasoning,C8,Complex,351.26,4,0.497,270,0,Y,0.0022
Gemini 3 Pro Thinking,Reasoning,C9,Complex,1630,319,2,3100000000,0,Y,0.0102
Gemini 3 Pro Thinking,Reasoning,C10,Complex,2150,244,2,4200000000,0,Y,0.0134
